,Theta,,,,,,,,,,,,,,
1,"1.04577617559808,",,1.045776176,,0,0.589692761,0.586468621,1.026827605,1.05020114,1.056907709,0.956822324,0.910422314,0.933412679,1.045776176,1.249851057
2,"2.03832461377863,",,2.038324614,,0,0.88002036,0.902370959,1.719529004,1.769381306,1.775664111,1.683278535,1.799009067,1.762046261,2.038324614,2.353740868
3,"2.35932626955716,",,2.35932627,,0,0.800904155,0.841747507,1.809704777,1.875676747,1.879695192,1.811517024,2.114244566,2.003295588,2.35932627,2.671234578
4,"1.61243709607057,",,1.612437096,,0,0.487361971,0.506986486,1.170433217,1.222404247,1.223240625,1.146034222,1.464297396,1.320904249,1.612437096,1.855580538
5,"0.762428547572398,",,0.762428548,,0,0.528253934,0.494423043,1.056344686,1.172603076,1.195093077,0.773160158,0.637983029,0.622997811,0.762428548,1.122794309
6,"1.85361470500254,",,1.853614705,,0,0.877613683,0.834160569,1.706743803,1.936907209,1.956468254,1.434152386,1.649785373,1.44596961,1.853614705,2.42523414
7,"2.3943518806565,",,2.394351881,,0,0.89370579,0.841605213,1.73927813,2.029123577,2.033792072,1.571872696,2.2093015,1.826096581,2.394351881,3.006517064
8,"1.66964128272415,",,1.669641283,,0,0.625059881,0.556389838,1.031139907,1.252929105,1.239778717,0.895542188,1.573914002,1.176621653,1.669641283,2.231921839
9,"-0.423235367693459,",,-0.423235368,,0,0.380600996,0.294201414,0.466929373,0.771767901,0.804790249,-0.109087322,-0.348775135,-0.468893432,-0.423235368,-0.10364529
10,"-0.149373997768877,",,-0.149373998,,0,0.715508923,0.567483681,0.560162292,1.152934474,1.1778939,-0.146399239,0.024927537,-0.432627103,-0.149373998,0.409088984
11,"0.16679246494147,",,0.166792465,,0,0.789872652,0.594001494,0.287498712,1.013739189,0.993254117,-0.290580632,0.418997829,-0.293050545,0.166792465,0.891831874
12,"0.00680095368929756,",,0.006800954,,0,0.596532408,0.393365508,-0.163538975,0.380886956,0.306920991,-0.568358499,0.207299739,-0.424820702,0.006800954,0.848324243
13,"-1.41307465293183,",,-1.413074653,,0,0.208267865,0.072466505,-0.29313677,0.154435014,0.17909455,-0.942938855,-1.197630624,-1.367904739,-1.413074653,-1.282159611
14,"-2.13530293166854,",,-2.135302932,,0,0.415479107,0.186981701,-0.745756879,0.114755883,0.126277558,-1.685699718,-1.683735674,-2.196015074,-2.135302932,-1.823210222
15,"-2.3021263712452,",,-2.302126371,,0,0.454103526,0.161573945,-1.214726119,-0.182467633,-0.245743395,-2.12288457,-1.730949004,-2.458943093,-2.302126371,-1.713346034
16,"-1.89683881239356,",,-1.896838812,,0,0.33382204,0.049614005,-1.272209517,-0.509292509,-0.66239397,-1.935457042,-1.482558076,-2.063498691,-1.896838812,-1.037420735
17,"-1.04577617559808,",,-1.045776176,,0,-0.589692761,-0.586468621,-1.026827605,-1.05020114,-1.056907709,-0.956822324,-0.910422314,-0.933412679,-1.045776176,-1.249851057
18,"-2.03832461377862,",,-2.038324614,,0,-0.88002036,-0.902370959,-1.719529004,-1.769381306,-1.775664111,-1.683278535,-1.799009067,-1.762046261,-2.038324614,-2.353740868
19,"-2.35932626955716,",,-2.35932627,,0,-0.800904155,-0.841747507,-1.809704777,-1.875676747,-1.879695192,-1.811517024,-2.114244566,-2.003295588,-2.35932627,-2.671234578
20,"-1.61243709607056,",,-1.612437096,,0,-0.487361971,-0.506986486,-1.170433217,-1.222404247,-1.223240625,-1.146034222,-1.464297396,-1.320904249,-1.612437096,-1.855580538
21,"-0.762428547572395,",,-0.762428548,,0,-0.528253934,-0.494423043,-1.056344686,-1.172603076,-1.195093077,-0.773160158,-0.637983029,-0.622997811,-0.762428548,-1.122794309
22,"-1.85361470500254,",,-1.853614705,,0,-0.877613683,-0.834160569,-1.706743803,-1.936907209,-1.956468254,-1.434152386,-1.649785373,-1.44596961,-1.853614705,-2.42523414
23,"-2.39435188065651,",,-2.394351881,,0,-0.89370579,-0.841605213,-1.73927813,-2.029123577,-2.033792072,-1.571872696,-2.2093015,-1.826096581,-2.394351881,-3.006517064
24,"-1.66964128272414,",,-1.669641283,,0,-0.625059881,-0.556389838,-1.031139907,-1.252929105,-1.239778717,-0.895542188,-1.573914002,-1.176621653,-1.669641283,-2.231921839
25,"0.423235367693459,",,0.423235368,,0,-0.380600996,-0.294201414,-0.466929373,-0.771767901,-0.804790249,0.109087322,0.348775135,0.468893432,0.423235368,0.10364529
26,"0.149373997768877,",,0.149373998,,0,-0.715508923,-0.567483681,-0.560162292,-1.152934474,-1.1778939,0.146399239,-0.024927537,0.432627103,0.149373998,-0.409088984
27,"-0.166792464941466,",,-0.166792465,,0,-0.789872652,-0.594001494,-0.287498712,-1.013739189,-0.993254117,0.290580632,-0.418997829,0.293050545,-0.166792465,-0.891831874
28,"-0.00680095368929255,",,-0.006800954,,0,-0.596532408,-0.393365508,0.163538975,-0.380886956,-0.306920991,0.568358499,-0.207299739,0.424820702,-0.006800954,-0.848324243
29,"1.41307465293182,",,1.413074653,,0,-0.208267865,-0.072466505,0.29313677,-0.154435014,-0.17909455,0.942938855,1.197630624,1.367904739,1.413074653,1.282159611
30,"2.13530293166854,",,2.135302932,,0,-0.415479107,-0.186981701,0.745756879,-0.114755883,-0.126277558,1.685699718,1.683735674,2.196015074,2.135302932,1.823210222
31,"2.3021263712452,",,2.302126371,,0,-0.454103526,-0.161573945,1.214726119,0.182467633,0.245743395,2.12288457,1.730949004,2.458943093,2.302126371,1.713346034
32,1.896838812,,1.896838812,,0,-0.33382204,-0.049614005,1.272209517,0.509292509,0.66239397,1.935457042,1.482558076,2.063498691,1.896838812,1.037420735
